student_id,student_name,enrollment_date,enrolled_courses,course_progress,completion_status,assessment_score,last_activity_date,data_origin
STU-001,Amara Adams,2025-09-01,CRS-001; CRS-005,100.0,Completed,74.5,2026-01-09,synthetic_demo
STU-002,Ben Adams,2025-09-06,CRS-004; CRS-008,59.5,Active,70.0,2025-12-19,synthetic_demo
STU-003,Chloe Adams,2025-09-11,CRS-007; CRS-001,76.5,Active,67.0,2026-01-10,synthetic_demo
STU-004,Darius Adams,2025-09-16,CRS-010; CRS-004,57.5,Active,75.8,2025-12-22,synthetic_demo
STU-005,Eva Adams,2025-09-21,CRS-003; CRS-007,74.5,Active,72.8,2026-01-13,synthetic_demo
STU-006,Farah Adams,2025-09-26,CRS-006; CRS-010,100.0,Completed,81.5,2026-02-03,synthetic_demo
STU-007,Gabriel Adams,2025-10-01,CRS-009; CRS-003,72.5,Active,78.5,2026-01-26,synthetic_demo
STU-008,Hana Adams,2025-10-06,CRS-002; CRS-006,53.5,Active,75.5,2026-01-07,synthetic_demo
STU-009,Isaac Adams,2025-10-11,CRS-005; CRS-009,70.5,Active,71.0,2026-01-29,synthetic_demo
STU-010,Julia Adams,2025-10-16,CRS-008; CRS-002,51.5,Active,68.0,2026-01-20,synthetic_demo
STU-011,Kai Adams,2025-10-21,CRS-001; CRS-005,100.0,Completed,78.2,2026-02-28,synthetic_demo
STU-012,Leila Adams,2025-10-26,CRS-004; CRS-008,49.5,Active,73.8,2026-01-23,synthetic_demo
STU-013,Mateo Adams,2025-10-31,CRS-007; CRS-001,66.5,Active,70.8,2026-02-14,synthetic_demo
STU-014,Nadia Adams,2025-11-05,CRS-010; CRS-004,47.5,Active,79.5,2026-02-05,synthetic_demo
STU-015,Owen Adams,2025-11-10,CRS-003; CRS-007,64.5,Active,76.5,2026-02-27,synthetic_demo
STU-016,Amara Bello,2025-11-15,CRS-006; CRS-010,100.0,Completed,72.0,2026-03-25,synthetic_demo
STU-017,Ben Bello,2025-11-20,CRS-009; CRS-003,62.5,Active,69.0,2026-03-02,synthetic_demo
STU-018,Chloe Bello,2025-11-25,CRS-002; CRS-006,43.5,Active,79.2,2026-02-21,synthetic_demo
STU-019,Darius Bello,2025-11-30,CRS-005; CRS-009,60.5,Active,74.8,2026-03-15,synthetic_demo
STU-020,Eva Bello,2025-12-05,CRS-008; CRS-002,77.5,Active,71.8,2026-04-06,synthetic_demo
STU-021,Farah Bello,2025-12-10,CRS-001; CRS-005,100.0,Completed,68.8,2026-04-19,synthetic_demo
STU-022,Gabriel Bello,2025-12-15,CRS-004; CRS-008,75.5,Active,77.5,2026-04-09,synthetic_demo
STU-023,Hana Bello,2025-12-20,CRS-007; CRS-001,56.5,Active,74.5,2026-03-31,synthetic_demo
STU-024,Isaac Bello,2025-12-25,CRS-010; CRS-004,73.5,Active,70.0,2026-04-22,synthetic_demo
STU-025,Julia Bello,2025-12-30,CRS-003; CRS-007,54.5,Active,80.2,2026-04-03,synthetic_demo
STU-026,Kai Bello,2026-01-04,CRS-006; CRS-010,100.0,Completed,75.8,2026-05-14,synthetic_demo
STU-027,Leila Bello,2026-01-09,CRS-009; CRS-003,52.5,Active,72.8,2026-04-16,synthetic_demo
STU-028,Mateo Bello,2026-01-14,CRS-002; CRS-006,69.5,Active,69.8,2026-05-08,synthetic_demo
STU-029,Nadia Bello,2026-01-19,CRS-005; CRS-009,50.5,Active,78.5,2026-04-19,synthetic_demo
STU-030,Owen Bello,2026-01-24,CRS-008; CRS-002,67.5,Active,75.5,2026-05-11,synthetic_demo
STU-031,Amara Chen,2026-01-29,CRS-001; CRS-005,100.0,Completed,72.5,2026-06-08,synthetic_demo
STU-032,Ben Chen,2026-02-03,CRS-004; CRS-008,65.5,Active,81.2,2026-05-24,synthetic_demo
STU-033,Chloe Chen,2026-02-08,CRS-007; CRS-001,82.5,Active,65.0,2026-06-15,synthetic_demo
STU-034,Darius Chen,2026-02-13,CRS-010; CRS-004,63.5,Active,73.8,2026-05-27,synthetic_demo
STU-035,Eva Chen,2026-02-18,CRS-003; CRS-007,44.5,Active,70.8,2026-05-18,synthetic_demo
STU-036,Farah Chen,2026-02-23,CRS-006; CRS-010,100.0,Completed,79.5,2026-07-03,synthetic_demo
STU-037,Gabriel Chen,2026-02-28,CRS-009; CRS-003,78.5,Active,76.5,2026-07-01,synthetic_demo
STU-038,Hana Chen,2026-03-05,CRS-002; CRS-006,59.5,Active,73.5,2026-06-12,synthetic_demo
STU-039,Isaac Chen,2026-03-10,CRS-005; CRS-009,76.5,Active,82.2,2026-07-04,synthetic_demo
STU-040,Julia Chen,2026-03-15,CRS-008; CRS-002,57.5,Active,66.0,2026-06-25,synthetic_demo
STU-041,Kai Chen,2026-03-20,CRS-001; CRS-005,100.0,Completed,76.2,2026-07-28,synthetic_demo
STU-042,Leila Chen,2026-03-25,CRS-004; CRS-008,55.5,Active,71.8,2026-06-28,synthetic_demo
STU-043,Mateo Chen,2026-03-30,CRS-007; CRS-001,72.5,Active,82.0,2026-07-20,synthetic_demo
STU-044,Nadia Chen,2026-04-04,CRS-010; CRS-004,53.5,Active,77.5,2026-07-11,synthetic_demo
STU-045,Owen Chen,2026-04-09,CRS-003; CRS-007,70.5,Active,74.5,2026-08-02,synthetic_demo
STU-046,Amara Diaz,2026-04-14,CRS-006; CRS-010,100.0,Completed,70.0,2026-08-22,synthetic_demo
STU-047,Ben Diaz,2026-04-19,CRS-009; CRS-003,68.5,Active,67.0,2026-08-05,synthetic_demo
STU-048,Chloe Diaz,2026-04-24,CRS-002; CRS-006,49.5,Active,77.2,2026-07-27,synthetic_demo
STU-049,Darius Diaz,2026-04-29,CRS-005; CRS-009,66.5,Active,72.8,2026-08-18,synthetic_demo
STU-050,Eva Diaz,2026-05-04,CRS-008; CRS-002,83.5,Active,83.0,2026-08-31,synthetic_demo
STU-051,Farah Diaz,2026-05-09,CRS-001; CRS-005,100.0,Completed,66.8,2026-08-31,synthetic_demo
STU-052,Gabriel Diaz,2026-05-14,CRS-004; CRS-008,45.5,Active,75.5,2026-08-12,synthetic_demo
STU-053,Hana Diaz,2026-05-19,CRS-007; CRS-001,62.5,Active,72.5,2026-08-31,synthetic_demo
STU-054,Isaac Diaz,2026-05-24,CRS-010; CRS-004,79.5,Active,68.0,2026-08-31,synthetic_demo
STU-055,Julia Diaz,2026-05-29,CRS-003; CRS-007,60.5,Active,78.2,2026-08-31,synthetic_demo
STU-056,Kai Diaz,2026-06-03,CRS-006; CRS-010,100.0,Completed,73.8,2026-08-31,synthetic_demo
STU-057,Leila Diaz,2026-06-08,CRS-009; CRS-003,58.5,Active,70.8,2026-08-31,synthetic_demo
STU-058,Mateo Diaz,2026-06-13,CRS-002; CRS-006,75.5,Active,67.8,2026-08-31,synthetic_demo
STU-059,Nadia Diaz,2026-06-18,CRS-005; CRS-009,56.5,Active,76.5,2026-08-31,synthetic_demo
STU-060,Owen Diaz,2026-06-23,CRS-008; CRS-002,73.5,Active,73.5,2026-08-31,synthetic_demo
